task_id,skill_id,category,difficulty,tokens,section_count,code_block_count,code_token_ratio,constraint_density,validation_density,workflow_density,example_density,archetype,path
3d-scan-calc,mesh-analysis,engineering,hard,403,10,1,0.1563,3.0,1.0,8.0,0.0,workflow_recipe,tasks\3d-scan-calc\environment\skills\mesh-analysis\SKILL.md
adaptive-cruise-control,csv-processing,control-systems,medium,321,19,6,0.757,0.0,2.0,2.0,0.0,code_heavy_reference,tasks\adaptive-cruise-control\environment\skills\csv-processing\SKILL.md
adaptive-cruise-control,pid-controller,control-systems,medium,417,6,2,0.3885,0.0,0.0,15.0,0.0,code_heavy_reference,tasks\adaptive-cruise-control\environment\skills\pid-controller\SKILL.md
adaptive-cruise-control,simulation-metrics,control-systems,medium,372,6,5,0.7124,0.0,0.0,0.0,0.0,code_heavy_reference,tasks\adaptive-cruise-control\environment\skills\simulation-metrics\SKILL.md
adaptive-cruise-control,vehicle-dynamics,control-systems,medium,318,7,7,0.6164,0.0,0.0,0.0,0.0,code_heavy_reference,tasks\adaptive-cruise-control\environment\skills\vehicle-dynamics\SKILL.md
adaptive-cruise-control,yaml-config,control-systems,medium,253,7,4,0.6047,0.0,0.0,3.0,0.0,code_heavy_reference,tasks\adaptive-cruise-control\environment\skills\yaml-config\SKILL.md
azure-bgp-oscillation-route-leak,azure-bgp,bgp-route,medium,1745,16,1,0.0275,5.7307,1.1461,40.1146,1.1461,workflow_recipe,tasks\azure-bgp-oscillation-route-leak\environment\skills\azure-bgp\SKILL.md
citation-check,citation-management,research,medium,5172,147,27,0.3126,3.0936,8.5073,61.8716,1.5468,code_heavy_reference,tasks\citation-check\environment\skills\citation-management\SKILL.md
civ6-adjacency-optimizer,civ6lib,games,hard,1119,36,3,0.0992,5.3619,0.8937,30.3843,0.0,workflow_recipe,tasks\civ6-adjacency-optimizer\environment\skills\civ6lib\SKILL.md
civ6-adjacency-optimizer,hex-grid-spatial,games,hard,581,14,5,0.6213,1.0,1.0,4.0,0.0,code_heavy_reference,tasks\civ6-adjacency-optimizer\environment\skills\hex-grid-spatial\SKILL.md
civ6-adjacency-optimizer,map-optimization-strategy,games,hard,798,9,3,0.1842,2.0,2.0,26.0,1.0,workflow_recipe,tasks\civ6-adjacency-optimizer\environment\skills\map-optimization-strategy\SKILL.md
civ6-adjacency-optimizer,sqlite-map-parser,games,hard,748,20,11,0.6083,0.0,1.0,12.0,1.0,code_heavy_reference,tasks\civ6-adjacency-optimizer\environment\skills\sqlite-map-parser\SKILL.md
court-form-filling,pdf,document-processing,easy,1121,54,17,0.6708,0.0,0.8921,6.2444,0.0,code_heavy_reference,tasks\court-form-filling\environment\skills\pdf\SKILL.md
crystallographic-wyckoff-position-analysis,pymatgen,materials_science,medium,2902,95,32,0.4735,0.3446,1.7229,26.1888,0.3446,code_heavy_reference,tasks\crystallographic-wyckoff-position-analysis\environment\skills\pymatgen\SKILL.md
crystallographic-wyckoff-position-analysis,sympy,materials_science,medium,2565,70,34,0.5209,0.3899,1.9493,21.0526,1.9493,code_heavy_reference,tasks\crystallographic-wyckoff-position-analysis\environment\skills\sympy\SKILL.md
dapt-intrusion-detection,pcap-analysis,security,hard,2570,62,19,0.6634,4.6693,1.5564,7.7821,0.3891,code_heavy_reference,tasks\dapt-intrusion-detection\environment\skills\pcap-analysis\SKILL.md
dapt-intrusion-detection,threat-detection,security,hard,798,16,11,0.5551,4.0,0.0,3.0,2.0,code_heavy_reference,tasks\dapt-intrusion-detection\environment\skills\threat-detection\SKILL.md
data-to-d3,d3-visualization,Data Visualization,medium,1070,14,7,0.2206,6.5421,0.0,42.0561,0.9346,code_heavy_reference,tasks\data-to-d3\environment\skills\d3-visualization\SKILL.md
dialogue-parser,dialogue_graph,game,easy,405,21,8,0.4,0.0,3.0,5.0,0.0,code_heavy_reference,tasks\dialogue-parser\environment\skills\dialogue_graph\SKILL.md
dynamic-object-aware-egomotion,dyn-object-masks,video-analysis,medium,379,4,1,0.2902,1.0,1.0,10.0,0.0,workflow_recipe,tasks\dynamic-object-aware-egomotion\environment\skills\dyn-object-masks\SKILL.md
dynamic-object-aware-egomotion,egomotion-estimation,video-analysis,medium,370,5,1,0.2622,1.0,1.0,10.0,1.0,workflow_recipe,tasks\dynamic-object-aware-egomotion\environment\skills\egomotion-estimation\SKILL.md
